problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
nsb_log_d4,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.1139438450336456,0.43489554497812477,0.29844566648984383,4.983839850020948e-06,23.932343161904317,4020.633651199925
nsb_log_d4,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.1254856437444687,2.0876567165056863,3.7889919473884923,4.993557814443539e-06,57.679293881547416,9690.121372099966
nsb_log_d4,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.1260686963796615,1.7120784180504935,2.6759907279653206,4.98885763515015e-06,46.117703619640366,7747.774208099581
nsb_log_d4,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.197367250919342,1.6681488566100597,1.5691310203730202,1.2388961048751904e-05,92.96332620178353,15617.838801899634
nsb_log_d4,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.3730778098106384,3.1095077968424274,2.3227632786650543,4.8984191277581665e-06,70.05198145833302,11768.732884999947
nsb_log_d4,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.1098876893520355,2.4376257764885114,4.231826289241582,4.921415768963232e-06,74.06604949583318,12443.096315299976
nsb_log_d4,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.113491766154766,0.39228371490857433,0.2728040517148784,5.291533373760363e-06,34.852580760118926,5855.233567699979
nsb_log_d4,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.1254538297653198,1.6547610671924693,2.6560825091271267,4.989366833082645e-06,29.15282316666716,4897.674292000083
nsb_log_d4,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.1270963251590728,2.0673816750446954,3.762915033511534,4.991184823666117e-06,34.15662319583333,5738.3126969
nsb_log_d4,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.1281837373971939,1.6093368835392452,1.5578383508066096,1.2021204941534269e-05,58.816706449405025,9881.206683500044
nsb_log_d4,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.4803866446018219,2.965742489766507,2.241317623719426,4.892993136503979e-06,42.91738838809527,7210.121249200005
nsb_log_d8,p,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0152022987604141,0.434832591740858,0.512179795419608,5.929172199817653e-06,14.203934891666341,2386.2610617999453
nsb_log_d8,p,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0177837908267974,0.41142039818112697,0.6573711711061038,7.760002693842017e-06,18.833243529165408,3163.9849128997885
nsb_log_d8,p,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0269140470772981,0.5042630236462823,0.714518016092554,6.18846502761915e-06,107.04961160119066,17984.33474900003
nsb_log_d8,p,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0833930894732475,0.38604735813680147,0.23271699733525422,1.94538635447489e-05,19.1925638678589,3224.350729800295
nsb_log_d8,p,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.1284472644329071,0.2994121279390085,0.09479137202839095,4.99018849928862e-06,44.35686199880937,7451.952815799974
nsb_log_d8,p,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.206062838435173,0.6855613764907632,0.40245041999260633,4.962725527201699e-06,78.76910852023832,13233.210231400037
nsb_log_d8,p,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0156808737665414,0.4362666575082888,0.5069182052325495,5.7842661417020105e-06,19.856992570238226,3335.974751800022
nsb_log_d8,p,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0184573400765657,0.40685765516190303,0.6560234747689956,7.793134568059723e-06,23.663142358334188,3975.4079162001435
nsb_log_d8,p,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0282077435404062,0.509850381297015,0.7063101043691559,6.538472841081481e-06,63.15571622976226,10610.16032660006
nsb_log_d8,p,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0757999643683433,0.3937118377181746,0.2434649551670373,2.5614856846392296e-05,24.26486521666716,4076.497356400083
nsb_log_d8,p,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.147387221455574,0.3089193622803404,0.09468410520648979,4.989575253538143e-06,28.052665997618792,4712.847887599957
nsb_log_d8,p,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.2025294303894043,0.686660238497314,0.40520598035564404,4.9856733372031335e-06,44.61681543809469,7495.624993599908
nsb_log_d8,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0860746800899505,3.325983968873819,4.490878262271751,4.989470141936181e-06,44.502847863686924,7476.478441099403
nsb_log_d8,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0866206958889961,3.4838624073281172,5.817793594380229,4.947753276545492e-06,167.37818647500188,28119.535327800317
nsb_log_d8,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0925167053937912,3.534462344344883,5.843159338036732,4.9937172791812505e-06,59.66254365535583,10023.30733409978
nsb_log_d8,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.1630323678255081,0.4413066789330471,0.24853394220455208,5.916423571675079e-06,170.6117347035726,28662.7714302002
nsb_log_d8,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.2458633631467819,2.01331816551586,1.592781756023381,1.91189511020812e-05,91.45491643869033,15364.425961699977
nsb_log_d8,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,1.1245689392089844,4.242217456301053,2.839620329196018,4.914815934041274e-06,90.65332124404883,15229.757969000202
